"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier","improved_sewer","unpiped_sewer","surface_sewer","piped_sewer","unimproved_sewer","improved_water","unpiped_water","surface_water","piped_water","unimproved_water","p_density","elevation"
"GMB","GM",4915,47655,47655,17090,-14.0144902,13.5001159,1,,,2015,,,0,0,0,0,0,0,1,6049,,,,,0,397,397,397,253,,,,,,93.3809469944142,8.58298429554149,0.384052122099768,84.79796300223,6.2350011635052,82,31.1039377432268
"GMB","GM",4916,47659,47659,16746,-16.3861179,13.1869802,1,,,2015,,,0,0,0,0,0,0,1,6076,,,,,0,401,401,401,255,0.810322532467566,0.657302108904131,0.312127709953201,0.153020411707635,0.120720505354918,52.1137909688366,45.3645739743088,0.953427057763563,6.74921772709048,46.9327808571411,114.599998474121,15.8505359999958
"GMB","GM",4915,47650,47650,16819,-14.41422,13.34983333,3,,,2015,,,0,0,0,0,0,0,1,5986,,,,,0,403,403,403,256,,,,,,84.0963155484488,25.9910792669038,0.641943428062464,58.1052367503998,15.2617403887777,163.800003051758,20.6342452128056
"GMB","GM",4911,47631,47631,17041,-14.586263,13.632834,1,,,2015,,,50,0,50,0,50,0,1,5795,0,0,0,0,4593.35540990255,405,405,405,257,,,,,,85.4181870301205,22.6919230737104,1.27862802584286,62.7262656920268,13.3031849547415,52.7999992370606,39.8594854752043
"GMB","GM",4912,47633,47633,16863,-16.67019004,13.43114856,3,,,2015,,,0,0,0,0,0,0,1,5837,,,,,211.947380708056,406,406,406,258,,,,,,98.904941774975,14.1440135195542,0.0135313203827511,84.7609285659233,1.08152647003942,5001.2998046875,11.7240341547994
"GMB","GM",4912,47633,47633,16864,-16.66957167,13.4341,3,,,2015,,,50,0,50,1,50,0,1,5813,0,0.02,0,0.0188679245283019,134.495132942299,407,407,407,259,,,,,,99.3930005737132,7.54862223200918,0.00750051754253699,91.8443785036616,0.599498676505389,5001.2998046875,10.2816888895916
"GMB","GM",4912,47633,47633,16865,-16.66995833,13.43298667,3,,,2015,,,50,0,50,1,50,0,1,5839,0,0.02,0,0.0188679245283019,134.495132942299,408,408,408,260,,,,,,99.2115220040635,10.0391334096276,0.0097429963023824,89.1723888129554,0.778734691016326,5001.2998046875,10.9291922760715
"GMB","GM",4912,47633,47633,52564,-16.66876,13.415178,3,,,2010,,,50,0,50,0,50,0,1,5818,0,0,0,0,175.442693837269,409,409,409,261,,,,,,95.8068403773355,49.9274175190449,0.00321543723932997,45.8794226771213,4.18994489011593,4562.75347405645,18.9093368959902
"GMB","GM",4916,47658,47658,16740,-16.1360406,13.1668731,1,,,2015,,,0,0,0,0,0,0,1,6072,,,,,100.837516261637,410,410,410,262,27.3882064142763,23.0898320641708,16.0873083911811,4.29837489199894,6.0246971619984,61.0104521300335,20.5559851700042,0.718246362994428,40.4544675298899,38.271301477409,57.6004360092457,34.0975971875549
"GMB","GM",4916,47665,47665,16960,-16.7883416,13.3485785,1,,,2015,,,0,0,0,0,0,0,1,6162,,,,,612.702018264773,413,413,413,263,,,,,,81.3716273176614,23.0509831221715,0.397449706725576,58.3206462717533,18.230921975733,434.410773316354,15.8430247846395
"GMB","GM",4913,47637,47637,16879,-15.8073816,13.43873,1,,,2015,,,0,0,0,0,0,0,1,5883,,,,,0,415,415,415,265,,,,,,80.9370469085215,24.9149777626143,0.350055698276514,56.0220735151927,18.712893497796,44.7509999996504,
"GMB","GM",4915,47654,47654,52598,-14.2292748,13.4632534,1,,,2005,,,30,1,30,0,30,0,2,6030,0.0333333333333333,0,0,0.0314465408805031,0,417,417,417,266,24.4267826080322,19.7450542449951,14.6038417816162,4.68172693252563,10.9693756103516,82.8378024347844,34.2572817367119,0.0109501385179592,48.580521877473,17.1512466988314,64.1413560562986,33.4728754631575
"GMB","GM",4916,47663,47663,16928,-16.4687475,13.216972,1,,,2015,,,0,0,0,0,0,0,1,6114,,,,,0,421,421,421,268,,,,,,81.3021374872713,34.5024398513384,0.193884635390283,46.7996991125272,18.5039800747247,160.699996948242,7.37667404799889
"GMB","GM",4915,47655,47655,17092,-13.99658167,13.54440167,3,,,2015,,,0,0,0,0,0,0,1,6043,,,,,0,424,424,424,270,28.339427947998,25.851526260376,16.9190921783447,2.48790073394775,4.74147939682007,74.0095912785406,21.0372619716902,0.50977435602387,52.9723273389963,25.4806343952698,82,50.6872561455994
"GMB","GM",4914,47646,47646,17072,-15.7021123,13.5552194,1,,,2015,,,0,0,0,0,0,0,1,5963,,,,,0,427,427,427,272,,,,,,89.6039315613048,11.6669614972575,0.460958503155491,77.9369712304315,9.93510987168719,113.300003051758,34.3772275354863
"GMB","GM",4914,47646,47646,17073,-15.7027675,13.558217,3,,,2015,,,0,0,0,0,0,0,1,5966,,,,,0,429,429,429,273,,,,,,89.7126517646923,11.6661212952526,0.464443960796991,78.0465318232472,9.8229043018529,113.300003051758,35.2985044640012
"GMB","GM",4916,47662,47662,,-16.65,13.218,3,,,1992,1,45,216,65,216,54,216,5,3,30314,0.300925925925926,0.25,0.0231481481481481,0.460218063320134,272.510593214422,261,261,261,168,,,,,,,,,,,,21.4899999999996
